,Date,Open,High,Low,Close,Volume
66,22-Aug-17,158.23,160.0,158.02,159.78,21604585
67,21-Aug-17,157.5,157.89,155.11,157.21,26368528
68,18-Aug-17,157.86,159.5,156.72,157.5,27428069
69,17-Aug-17,160.52,160.71,157.84,157.86,27940565
70,16-Aug-17,161.94,162.51,160.15,160.95,27671612
71,15-Aug-17,160.66,162.2,160.14,161.6,29465487
72,14-Aug-17,159.32,160.21,158.75,159.85,22122734
73,11-Aug-17,156.6,158.57,156.07,157.48,26257096
74,10-Aug-17,159.9,160.0,154.63,155.32,40804273
75,9-Aug-17,159.26,161.27,159.11,161.06,26131530
76,8-Aug-17,158.6,161.83,158.27,160.08,36205896
77,7-Aug-17,157.06,158.92,156.67,158.81,21870321
78,4-Aug-17,156.07,157.4,155.69,156.39,20559852
79,3-Aug-17,157.05,157.21,155.02,155.57,27097296
80,2-Aug-17,159.28,159.75,156.16,157.14,69936800
81,1-Aug-17,149.1,150.22,148.41,150.05,35368645
82,31-Jul-17,149.9,150.33,148.13,148.73,19845920
83,28-Jul-17,149.89,150.23,149.19,149.5,17213653
84,27-Jul-17,153.75,153.99,147.3,150.56,32476337
85,26-Jul-17,153.35,153.93,153.06,153.46,15780951
86,25-Jul-17,151.8,153.84,151.8,152.74,18853932
87,24-Jul-17,150.58,152.44,149.9,152.09,21493160
88,21-Jul-17,149.99,150.44,148.88,150.27,26252630
89,20-Jul-17,151.5,151.74,150.19,150.34,17243748
90,19-Jul-17,150.48,151.42,149.95,151.02,20922969
91,18-Jul-17,149.2,150.13,148.67,150.08,17868792
92,17-Jul-17,148.82,150.9,148.57,149.56,23793456
93,14-Jul-17,147.97,149.33,147.33,149.04,20132061
94,13-Jul-17,145.5,148.49,145.44,147.77,25199373
95,12-Jul-17,145.87,146.18,144.82,145.74,24884478
96,11-Jul-17,144.73,145.85,144.38,145.53,19781836
97,10-Jul-17,144.11,145.95,143.37,145.06,21090636
98,7-Jul-17,142.9,144.75,142.9,144.18,19201712
99,6-Jul-17,143.02,143.5,142.41,142.73,24128782
100,5-Jul-17,143.69,144.79,142.72,144.09,21569557
101,3-Jul-17,144.88,145.3,143.1,143.5,14277848
102,30-Jun-17,144.45,144.96,143.78,144.02,23024107
103,29-Jun-17,144.71,145.13,142.28,143.68,31499368
104,28-Jun-17,144.49,146.11,143.16,145.83,22082432
105,27-Jun-17,145.01,146.16,143.62,143.73,24761891
106,26-Jun-17,147.17,148.28,145.38,145.82,25692361
107,23-Jun-17,145.13,147.16,145.11,146.28,35439389
108,22-Jun-17,145.77,146.7,145.12,145.63,19106294
109,21-Jun-17,145.52,146.07,144.61,145.87,21265751
110,20-Jun-17,146.87,146.87,144.94,145.01,24900073
111,19-Jun-17,143.66,146.74,143.66,146.34,32541404
112,16-Jun-17,143.78,144.5,142.2,142.27,50361093
113,15-Jun-17,143.32,144.48,142.21,144.29,32165373
114,14-Jun-17,147.5,147.5,143.84,145.16,31531232
115,13-Jun-17,147.16,147.45,145.15,146.59,34165445
116,12-Jun-17,145.74,146.09,142.51,145.42,72307330
117,9-Jun-17,155.19,155.19,146.02,148.98,64882657
118,8-Jun-17,155.25,155.54,154.4,154.99,21250798
119,7-Jun-17,155.02,155.98,154.48,155.37,21069647
120,6-Jun-17,153.9,155.81,153.78,154.45,26624926
121,5-Jun-17,154.34,154.45,153.46,153.93,25331662
122,2-Jun-17,153.58,155.45,152.89,155.45,27770715
123,1-Jun-17,153.17,153.33,152.22,153.18,16404088
124,31-May-17,153.97,154.17,152.38,152.76,24451164
125,30-May-17,153.42,154.43,153.33,153.67,20126851
126,26-May-17,154.0,154.24,153.31,153.61,21927637
127,25-May-17,153.73,154.35,153.03,153.87,19235598
128,24-May-17,153.84,154.17,152.67,153.34,19219154
129,23-May-17,154.9,154.9,153.31,153.8,19918871
130,22-May-17,154.0,154.58,152.91,153.99,22966437
131,19-May-17,153.38,153.98,152.63,153.06,26960788
132,18-May-17,151.27,153.34,151.13,152.54,33568215
133,17-May-17,153.6,154.57,149.71,150.25,50767678
134,16-May-17,155.94,156.06,154.72,155.47,20048478
135,15-May-17,156.01,156.65,155.05,155.7,26009719
136,12-May-17,154.7,156.42,154.67,156.1,32527017
137,11-May-17,152.45,154.07,152.31,153.95,27255058
138,10-May-17,153.63,153.94,152.11,153.26,25805692
139,9-May-17,153.87,154.88,153.45,153.99,39130363
140,8-May-17,149.03,153.7,149.03,153.01,48752413
141,5-May-17,146.76,148.98,146.76,148.96,27327725
142,4-May-17,146.52,147.14,145.81,146.53,23371872
143,3-May-17,145.59,147.49,144.27,147.06,45697034
144,2-May-17,147.54,148.09,146.84,147.51,45352194
145,1-May-17,145.1,147.2,144.96,146.58,33602943
146,28-Apr-17,144.09,144.3,143.27,143.65,20860358
147,27-Apr-17,143.92,144.16,143.31,143.79,14246347
148,26-Apr-17,144.47,144.6,143.38,143.68,20041241
149,25-Apr-17,143.91,144.9,143.87,144.53,18871501
150,24-Apr-17,143.5,143.95,143.18,143.64,17134333
151,21-Apr-17,142.44,142.68,141.85,142.27,17320928
152,20-Apr-17,141.22,142.92,141.16,142.44,23319562
153,19-Apr-17,141.88,142.0,140.45,140.68,17328375
154,18-Apr-17,141.41,142.04,141.11,141.2,14697544
155,17-Apr-17,141.48,141.88,140.87,141.83,16582094
156,13-Apr-17,141.91,142.38,141.05,141.05,17822880
157,12-Apr-17,141.6,142.15,141.01,141.8,20350000
158,11-Apr-17,142.94,143.35,140.06,141.63,30379376
159,10-Apr-17,143.6,143.88,142.9,143.17,18933397
160,7-Apr-17,143.73,144.18,143.27,143.34,16672198
161,6-Apr-17,144.29,144.52,143.45,143.66,21149034
162,5-Apr-17,144.22,145.46,143.81,144.02,27717854
163,4-Apr-17,143.25,144.89,143.17,144.77,19891354
164,3-Apr-17,143.71,144.12,143.05,143.7,19985714
165,31-Mar-17,143.72,144.27,143.01,143.66,19661651
166,30-Mar-17,144.19,144.5,143.5,143.93,21207252
167,29-Mar-17,143.68,144.49,143.19,144.12,29189955
168,28-Mar-17,140.91,144.04,140.62,143.8,33374805
169,27-Mar-17,139.39,141.22,138.62,140.88,23575094
170,24-Mar-17,141.5,141.74,140.35,140.64,22395563
171,23-Mar-17,141.26,141.58,140.61,140.92,20346301
172,22-Mar-17,139.84,141.6,139.76,141.42,25860165
173,21-Mar-17,142.11,142.8,139.73,139.84,39529912
174,20-Mar-17,140.4,141.5,140.23,141.46,21542038
175,17-Mar-17,141.0,141.0,139.89,139.99,43884952
176,16-Mar-17,140.72,141.02,140.26,140.69,19231998
177,15-Mar-17,139.41,140.75,139.02,140.46,25691774
178,14-Mar-17,139.3,139.65,138.84,138.99,15309065
179,13-Mar-17,138.85,139.43,138.82,139.2,17421717
180,10-Mar-17,139.25,139.36,138.64,139.14,19612801
181,9-Mar-17,138.74,138.79,137.05,138.68,22155904
182,8-Mar-17,138.95,139.8,138.82,139.0,18707236
183,7-Mar-17,139.06,139.98,138.79,139.52,17446297
184,6-Mar-17,139.36,139.77,138.6,139.34,21750044
185,3-Mar-17,138.78,139.83,138.59,139.78,21571121
186,2-Mar-17,140.0,140.28,138.76,138.96,26210984
187,1-Mar-17,137.89,140.15,137.6,139.79,36414585
188,28-Feb-17,137.08,137.44,136.7,136.99,23482860
189,27-Feb-17,137.14,137.44,136.28,136.93,20257426
190,24-Feb-17,135.91,136.66,135.28,136.66,21776585
191,23-Feb-17,137.38,137.48,136.3,136.53,20788186
192,22-Feb-17,136.43,137.12,136.11,137.11,20836932
193,21-Feb-17,136.23,136.75,135.98,136.7,24507156
194,17-Feb-17,135.1,135.83,135.1,135.72,22198197
195,16-Feb-17,135.67,135.9,134.84,135.34,22584555
196,15-Feb-17,135.52,136.27,134.62,135.51,35623100
197,14-Feb-17,133.47,135.09,133.25,135.02,33226223
198,13-Feb-17,133.08,133.82,132.75,133.29,23035421
199,10-Feb-17,132.46,132.94,132.05,132.12,20065458
200,9-Feb-17,131.65,132.44,131.12,132.42,28349859
201,8-Feb-17,131.35,132.22,131.22,132.04,23004072
202,7-Feb-17,130.54,132.09,130.45,131.53,38183841
203,6-Feb-17,129.13,130.5,128.9,130.29,26845924
204,3-Feb-17,128.31,129.19,128.16,129.08,24507301
205,2-Feb-17,127.98,129.39,127.78,128.53,33710411
206,1-Feb-17,127.03,130.49,127.01,128.75,111985040
207,31-Jan-17,121.15,121.39,120.62,121.35,49200993
