,Date,Open,High,Low,Close,Volume
38,17-Jul-17,101.81,102.99,101.62,101.74,1647627
39,14-Jul-17,103.66,103.68,101.63,102.04,1205382
40,13-Jul-17,100.69,103.78,100.69,103.22,2222263
41,12-Jul-17,101.03,102.43,100.50,100.94,1997099
42,11-Jul-17,101.15,101.93,99.37,100.25,1433046
43,10-Jul-17,101.94,102.39,99.50,101.17,1909276
44,7-Jul-17,102.70,103.17,100.93,101.93,2118536
45,6-Jul-17,104.48,105.83,102.25,103.16,2718737
46,5-Jul-17,110.13,111.7,99.13,105.21,7348683
47,3-Jul-17,117.45,118.73,116.27,118.41,914839
48,30-Jun-17,116.45,117.82,116.03,116.59,994926
49,29-Jun-17,116.25,118.25,115.62,116.05,2184088
50,28-Jun-17,119.75,120.6,116.63,116.71,2106073
51,27-Jun-17,121.39,123.3,121.28,121.96,1652619
52,26-Jun-17,120.06,124.62,120.06,121.79,1544443
53,23-Jun-17,120.75,121.43,118.75,119.74,2289560
54,22-Jun-17,120.21,122.52,119.83,120.7,2118406
55,21-Jun-17,124.26,124.26,118.26,120.11,2492913
56,20-Jun-17,128.28,128.35,123.57,123.58,2233650
57,19-Jun-17,130.30,131.07,128.58,129.6,1069453
58,16-Jun-17,130.47,130.92,127.64,130.16,1725200
59,15-Jun-17,130.53,131.81,129.10,131.15,1221221
60,14-Jun-17,131.93,131.93,130.13,130.59,881532
61,13-Jun-17,130.95,131.67,128.63,131.63,896109
62,12-Jun-17,128.11,131.29,127.63,130.95,1466238
63,9-Jun-17,125.94,128.63,123.49,128.36,1679215
64,8-Jun-17,130.44,131.38,125.82,125.92,2226115
65,7-Jun-17,132.09,133.94,130.37,130.62,996380
66,6-Jun-17,134.99,134.99,129.95,131.3,2213019
67,5-Jun-17,137.00,137.0,134.73,135.57,1406799
68,2-Jun-17,136.98,138.23,136.13,137.8,1209178
69,1-Jun-17,134.10,137.1,133.75,137.1,1313286
70,31-May-17,134.14,135.4,131.62,133.63,2118495
71,30-May-17,134.65,135.21,132.77,132.99,1544291
72,26-May-17,131.84,135.7,131.44,134.16,2250326
73,25-May-17,133.00,134.07,129.40,131.97,3933558
74,24-May-17,131.65,135.9,131.30,133.02,5964623
75,23-May-17,139.15,143.83,139.14,140.66,3897489
76,22-May-17,150.90,151.35,147.20,147.37,1921481
77,19-May-17,148.85,151.72,147.91,151.47,1617166
78,18-May-17,144.73,149.16,144.52,148.51,1581080
79,17-May-17,143.71,145.13,142.89,144.56,1206115
80,16-May-17,146.65,146.65,142.11,145.25,2320079
81,15-May-17,144.66,147.15,144.49,145.85,1097685
82,12-May-17,145.76,145.76,144.39,145.02,593161
83,11-May-17,145.49,146.16,143.03,145.95,773048
84,10-May-17,145.83,146.26,145.15,146.16,383817
85,9-May-17,146.81,147.11,144.79,146.12,808001
86,8-May-17,145.17,147.06,144.76,146.97,838300
87,5-May-17,144.98,145.02,143.60,144.98,617481
88,4-May-17,142.71,144.95,142.71,144.81,595927
