,Date,Open,High,Low,Close,Volume
82,5-Jun-17,976.55,986.91,975.1,983.68,1252106
83,2-Jun-17,969.46,975.88,966.0,975.6,1750955
84,1-Jun-17,968.95,971.5,960.01,966.95,1410458
85,31-May-17,975.02,979.27,960.18,964.86,2448067
86,30-May-17,970.31,976.2,969.49,975.88,1466654
87,26-May-17,969.7,974.98,965.03,971.47,1252010
88,25-May-17,957.33,972.63,955.47,969.54,1660474
89,24-May-17,952.98,955.09,949.5,954.96,1034199
90,23-May-17,947.92,951.47,942.58,948.82,1270817
91,22-May-17,935.0,941.88,935.0,941.86,1120385
92,19-May-17,931.47,937.76,931.0,934.01,1393024
93,18-May-17,921.0,933.17,918.75,930.24,1596897
94,17-May-17,935.67,939.33,918.14,919.62,2362072
95,16-May-17,940.0,943.11,937.58,943.0,969479
96,15-May-17,932.95,938.25,929.34,937.08,1108496
97,12-May-17,931.53,933.44,927.85,932.22,1050601
98,11-May-17,925.32,932.53,923.03,930.6,835386
99,10-May-17,931.98,932.0,925.16,928.78,1173925
100,9-May-17,936.95,937.5,929.53,932.17,1581809
101,8-May-17,926.12,936.92,925.26,934.3,1329825
102,5-May-17,933.54,934.9,925.2,927.13,1911275
103,4-May-17,926.07,935.93,924.59,931.66,1422144
104,3-May-17,914.86,928.1,912.54,927.04,1499532
105,2-May-17,909.62,920.77,909.45,916.44,1587219
106,1-May-17,901.94,915.68,901.45,912.57,2115993
